ZIP5,TIMEZONE,LAST_UPDT_DATE
72837,US/Central,2022-03-03 01:45:00
72838,US/Central,2022-03-03 01:45:00
72839,US/Central,2022-03-03 01:45:00
72840,US/Central,2022-03-03 01:45:00
72841,US/Central,2022-03-03 01:45:00
72842,US/Central,2022-03-03 01:45:00
72843,US/Central,2022-03-03 01:45:00
72845,US/Central,2022-03-03 01:45:00
72846,US/Central,2022-03-03 01:45:00
72847,US/Central,2022-03-03 01:45:00
72851,US/Central,2022-03-03 01:45:00
72852,US/Central,2022-03-03 01:45:00
72853,US/Central,2022-03-03 01:45:00
72854,US/Central,2022-03-03 01:45:00
72855,US/Central,2022-03-03 01:45:00
72856,US/Central,2022-03-03 01:45:00
72857,US/Central,2022-03-03 01:45:00
72858,US/Central,2022-03-03 01:45:00
72860,US/Central,2022-03-03 01:45:00
72863,US/Central,2022-03-03 01:45:00
72865,US/Central,2022-03-03 01:45:00
72901,US/Central,2022-03-03 01:45:00
72902,US/Central,2022-03-03 01:45:00
72903,US/Central,2022-03-03 01:45:00
72904,US/Central,2022-03-03 01:45:00
72905,US/Central,2022-03-03 01:45:00
72906,US/Central,2022-03-03 01:45:00
72908,US/Central,2022-03-03 01:45:00
72913,US/Central,2022-03-03 01:45:00
72914,US/Central,2022-03-03 01:45:00
72916,US/Central,2022-03-03 01:45:00
72917,US/Central,2022-03-03 01:45:00
72918,US/Central,2022-03-03 01:45:00
72919,US/Central,2022-03-03 01:45:00
72921,US/Central,2022-03-03 01:45:00
72923,US/Central,2022-03-03 01:45:00
72926,US/Central,2022-03-03 01:45:00
72927,US/Central,2022-03-03 01:45:00
72928,US/Central,2022-03-03 01:45:00
72930,US/Central,2022-03-03 01:45:00
72932,US/Central,2022-03-03 01:45:00
72933,US/Central,2022-03-03 01:45:00
72934,US/Central,2022-03-03 01:45:00
72935,US/Central,2022-03-03 01:45:00
72936,US/Central,2022-03-03 01:45:00
72937,US/Central,2022-03-03 01:45:00
72938,US/Central,2022-03-03 01:45:00
72940,US/Central,2022-03-03 01:45:00
72941,US/Central,2022-03-03 01:45:00
72943,US/Central,2022-03-03 01:45:00
72944,US/Central,2022-03-03 01:45:00
72945,US/Central,2022-03-03 01:45:00
72946,US/Central,2022-03-03 01:45:00
72947,US/Central,2022-03-03 01:45:00
72948,US/Central,2022-03-03 01:45:00
72949,US/Central,2022-03-03 01:45:00
72950,US/Central,2022-03-03 01:45:00
72951,US/Central,2022-03-03 01:45:00
72952,US/Central,2022-03-03 01:45:00
72955,US/Central,2022-03-03 01:45:00
72956,US/Central,2022-03-03 01:45:00
72957,US/Central,2022-03-03 01:45:00
72958,US/Central,2022-03-03 01:45:00
72959,US/Central,2022-03-03 01:45:00
32401,US/Central,2022-03-03 01:45:00
32402,US/Central,2022-03-03 01:45:00
32403,US/Central,2022-03-03 01:45:00
32404,US/Central,2022-03-03 01:45:00
32405,US/Central,2022-03-03 01:45:00
32406,US/Central,2022-03-03 01:45:00
32407,US/Central,2022-03-03 01:45:00
32408,US/Central,2022-03-03 01:45:00
32409,US/Central,2022-03-03 01:45:00
32410,US/Central,2022-03-03 01:45:00
32411,US/Central,2022-03-03 01:45:00
32412,US/Central,2022-03-03 01:45:00
32413,US/Central,2022-03-03 01:45:00
32417,US/Central,2022-03-03 01:45:00
32420,US/Central,2022-03-03 01:45:00
32421,US/Central,2022-03-03 01:45:00
32422,US/Central,2022-03-03 01:45:00
32423,US/Central,2022-03-03 01:45:00
32424,US/Central,2022-03-03 01:45:00
32425,US/Central,2022-03-03 01:45:00
32426,US/Central,2022-03-03 01:45:00
32427,US/Central,2022-03-03 01:45:00
32428,US/Central,2022-03-03 01:45:00
32430,US/Central,2022-03-03 01:45:00
32431,US/Central,2022-03-03 01:45:00
32432,US/Central,2022-03-03 01:45:00
32433,US/Central,2022-03-03 01:45:00
32434,US/Central,2022-03-03 01:45:00
32435,US/Central,2022-03-03 01:45:00
32437,US/Central,2022-03-03 01:45:00
32438,US/Central,2022-03-03 01:45:00
32439,US/Central,2022-03-03 01:45:00
32440,US/Central,2022-03-03 01:45:00
32442,US/Central,2022-03-03 01:45:00
32443,US/Central,2022-03-03 01:45:00
32444,US/Central,2022-03-03 01:45:00
32445,US/Central,2022-03-03 01:45:00
32446,US/Central,2022-03-03 01:45:00
32447,US/Central,2022-03-03 01:45:00
32448,US/Central,2022-03-03 01:45:00
32449,US/Central,2022-03-03 01:45:00
32452,US/Central,2022-03-03 01:45:00
32455,US/Central,2022-03-03 01:45:00
32459,US/Central,2022-03-03 01:45:00
32460,US/Central,2022-03-03 01:45:00
32461,US/Central,2022-03-03 01:45:00
32462,US/Central,2022-03-03 01:45:00
32463,US/Central,2022-03-03 01:45:00
32464,US/Central,2022-03-03 01:45:00
32465,US/Central,2022-03-03 01:45:00
32466,US/Central,2022-03-03 01:45:00
32501,US/Central,2022-03-03 01:45:00
32502,US/Central,2022-03-03 01:45:00
32503,US/Central,2022-03-03 01:45:00
32504,US/Central,2022-03-03 01:45:00
32505,US/Central,2022-03-03 01:45:00
32506,US/Central,2022-03-03 01:45:00
32507,US/Central,2022-03-03 01:45:00
32508,US/Central,2022-03-03 01:45:00
32509,US/Central,2022-03-03 01:45:00
32511,US/Central,2022-03-03 01:45:00
32512,US/Central,2022-03-03 01:45:00
32513,US/Central,2022-03-03 01:45:00
32514,US/Central,2022-03-03 01:45:00
32516,US/Central,2022-03-03 01:45:00
32520,US/Central,2022-03-03 01:45:00
32521,US/Central,2022-03-03 01:45:00
32522,US/Central,2022-03-03 01:45:00
32523,US/Central,2022-03-03 01:45:00
32524,US/Central,2022-03-03 01:45:00
32526,US/Central,2022-03-03 01:45:00
32530,US/Central,2022-03-03 01:45:00
32531,US/Central,2022-03-03 01:45:00
32533,US/Central,2022-03-03 01:45:00
32534,US/Central,2022-03-03 01:45:00
32535,US/Central,2022-03-03 01:45:00
32536,US/Central,2022-03-03 01:45:00
32537,US/Central,2022-03-03 01:45:00
32538,US/Central,2022-03-03 01:45:00
32539,US/Central,2022-03-03 01:45:00
32540,US/Central,2022-03-03 01:45:00
